skill_type,name,alias_name,localized_name,base_value,S_A,B_C,D_E_F,G,affinity_role,is_evo,evo_parents
ius,Tidebreaker,,,180.0,198.0,162.0,144.0,126.0,Long,0,
ius,To Our Vista,,,180.0,,,,,,0,
ius,trigger:BEAT,,,180.0,,,,,,0,
ius,U=ma2,,,180.0,,,,,,0,
gold,VIP顔パス,VIP Pass,VIP Pass,508.0,559.0,457.0,406.0,356.0,Long,0,
ius,Vive la GOLD,,,180.0,,,,,,0,
ius,Weaving History,,,180.0,198.0,162.0,144.0,126.0,Pace,0,
ius,win Q.E.D,,,180.0,,,,,,0,
ius,YEAH☆VIVID TIME!,,Pop & Polish,180.0,,,,,,0,
ius,愛と熔けよただ熔けよ,Melt in Love's Embrace,,180.0,,,,,,0,
gold,青嵐,Summer Gale,,461.0,,,,,,0,
ius,あおぞらクッキング♪,Clear Sky Cooking♪,,180.0,,,,,,0,
yellow,アオハル点火・賢,Aoharu Ignition・Wisdom,Ignited Spirit WIT,263.0,,,,,,0,
yellow,アオハル点火・根,Aoharu Ignition・Guts,Ignited Spirit GUTS,263.0,,,,,,0,
yellow,アオハル点火・速,Aoharu Ignition・Speed,Ignited Spirit SPD,263.0,,,,,,0,
blue,アオハル点火・体,Aoharu Ignition・Stamina,Ignited Spirit STA,263.0,,,,,,0,
yellow,アオハル点火・力,Aoharu Ignition・Power,Ignited Spirit PWR,263.0,,,,,,0,
gold,アオハル燃焼・賢,Aoharu Burning・Wisdom,Burning Spirit WIT,633.0,,,,,,0,
gold,アオハル燃焼・根,Aoharu Burning・Guts,Burning Spirit GUTS,633.0,,,,,,0,
gold,アオハル燃焼・速,Aoharu Burning・Speed,Burning Spirit SPD,633.0,,,,,,0,
gold,アオハル燃焼・体,Aoharu Burning・Stamina,Burning Spirit STA,633.0,,,,,,0,
gold,アオハル燃焼・力,Aoharu Burning・Power,Burning Spirit PWR,633.0,,,,,,0,
ius,暁の御旗『葛城栄主』！,Flag of Dawn: Katsuragi Ace,,180.0,,,,,,0,
gold,アガッてきた！,Now I'm Pumped!,It's On!,508.0,,,,,,0,
yellow,明るい兆し,Promising Omen,,217.0,,,,,Dirt,0,
green,秋ウマ娘○,Autumn Girl ○,Fall Runner ○,129.0,,,,,,0,
green,秋ウマ娘◎,Autumn Girl ◎,Fall Runner ◎,174.0,,,,,,0,
yellow,アクセラレーション,Acceleration,Acceleration,217.0,239.0,195.0,174.0,152.0,Mile,0,
gold,アクセル全開！,Accel Full Throttle!,Step on the Gas!,508.0,559.0,457.0,406.0,356.0,Mile,0,
yellow,アグレッシブ,Aggressive,,217.0,239.0,195.0,174.0,152.0,Pace,0,
ius,アゲてアゲてぷちょへんざ！,Everybody Put Your Hands Up!,,180.0,,,,,,0,
ius,憧れは桜を越える！,Longing Beyond the Sakura,Ambition to Surpass the Sakura,180.0,,,,,,0,
yellow,憧れを超えて,,,217.0,263.0,176.0,139.0,106.0,Medium/Pace,0,
yellow,足がかり,Foothold,,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,足任せ,Footloose,,217.0,239.0,195.0,174.0,152.0,Mile,0,
yellow,遊びはおしまいっ！,Playtime's Over!,Playtime's Over!,217.0,,,,,,0,
gold,熱いまなざし,Passionate Gaze,Petrifying Gaze,508.0,559.0,457.0,406.0,356.0,End,0,
gold,圧倒的リード,Overwhelming Lead,Staggering Lead,508.0,559.0,457.0,406.0,356.0,Sprint,0,
red,圧迫感,Pressing Feeling,,217.0,,,,,Dirt,0,
ius,あっぱれ大盤振る舞い！,Lavish Feast,,180.0,,,,,,0,
ius,アド・アストラ,Ad Astra,,180.0,,,,,,0,
yellow,後先恐れず,Fearless Advance,,217.0,239.0,195.0,174.0,152.0,Mile,0,
ius,あなたに捧げるフリーポア,Latte Art For You,,180.0,,,,,,0,
ius,アナタヲ・オイカケテ,Chasing After You,Chasing After You,180.0,,,,,,0,
gold,姉御肌,Big Sister Disposition,Big-Sisterly,334.0,367.0,301.0,267.0,234.0,Mile,0,
green,あふれる活力,Overflowing Vitality,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
yellow,溢れる情熱,Overflowing Passion,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,アプローチ,Approach,,217.0,,,,,Dirt,0,
green,雨の日○,Rainy Days ○,Rainy Days ○,129.0,,,,,,0,
green,雨の日◎,Rainy Days ◎,Rainy Days ◎,174.0,,,,,,0,
yellow,アメリカンドリーム,American Dream,,263.0,,,,,,0,
yellow,あやしげな作戦,Questionable Strategy,Risky Business,129.0,,,,,,0,
gold,新たな伝説を築く者,Forger of Legends,,633.0,,,,,,0,
gold,荒ぶる旋風,Wild Whirlwind,Wild Wind,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,ありったけ,All That There Is,All I've Got,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,あるがままに,Be Myself,,263.0,289.0,237.0,210.0,184.0,Medium/Long,0,
ius,アングリング×スキーミング,Angling×Scheming,Angling and Scheming,180.0,,,,,,0,
gold,アンストッパブル,Unstoppable,,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,いいとこ入った！,In the Right Place!,,508.0,,,,,,0,
blue,勢い任せ,Leave It to Vigor!,Moxie,217.0,239.0,195.0,174.0,152.0,Front,0,
yellow,意気込み十分,Full of Zeal,,217.0,,,,,Dirt,0,
gold,意気衝天,In High Spirits,In High Spirits,508.0,559.0,457.0,406.0,356.0,Sprint,0,
yellow,イグニッション,Ignition,,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,意地っ張り,Stubborn,,217.0,239.0,195.0,174.0,152.0,Pace,0,
yellow,急ぎ足,Fast Paced,Fast-Paced,217.0,239.0,195.0,174.0,152.0,Front,0,
ius,いただき☆ストレリチア！,You're Mine ☆ Strelitzia,Victory belongs to me—Strelitzia! ☆,180.0,,,,,,0,
yellow,頂を目指して,Aim for the Summit,,217.0,263.0,176.0,139.0,106.0,Medium/Late,0,
gold,一意専心,Single-Minded,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
ius,一期の夢、刹那の飛翔,"A Lifetime's Dream, A Moment's Flight","A Lifelong Dream, A Moment's Flight",180.0,,,,,,0,
gold,一陣の風,Gust of Wind,Rushing Gale!,508.0,,,,,,0,
yellow,位置取り押し上げ,Position Swiper,Position Pilfer,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,一番乗り,Early Bird,,217.0,239.0,195.0,174.0,152.0,Medium,0,
gold,一番星,The First Star,Radiant Star,633.0,,,,,,0,
gold,一網打尽,Clean Sweep,,508.0,615.0,411.0,325.0,249.0,Long/End,0,
gold,一気呵成,In One Fell Swoop,,508.0,615.0,411.0,325.0,249.0,Long/Late,0,
gold,一心不乱,Undivided Focus,,508.0,559.0,457.0,406.0,356.0,End,0,
gold,一世一代,,,508.0,615.0,411.0,325.0,249.0,Long/Late,0,
yellow,一足飛び,Mighty Leap,,217.0,239.0,195.0,174.0,152.0,Sprint/Mile,0,
gold,一張一弛,Tension and Release,,508.0,559.0,457.0,406.0,356.0,Medium,0,
gold,一点集中,Laser-Focused,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
ius,いっぱいおあげんしぇ！,Have Your Fill!,,180.0,,,,,,0,
gold,一発必中,One-shot,,508.0,559.0,457.0,406.0,356.0,Long,0,
green,一匹狼,Lone Wolf,Lone Wolf,129.0,,,,,,0,
yellow,一歩から,From the First Step,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,一歩ずつ前へ,Forward Step by Step,,217.0,,,,,,0,
yellow,いつまでも健やかに,Forever Healthy,,263.0,289.0,237.0,210.0,184.0,Sprint/Mile,0,
gold,凍て風,Chilling Wind,,461.0,,,,,,0,
yellow,イナズマステップ,Inazuma Step,Thunderbolt Step,174.0,191.0,157.0,139.0,122.0,Medium,0,
gold,イニシアチブ,Initiative,,508.0,615.0,411.0,325.0,249.0,Sprint/Front,0,
ius,禾スナハチ登ル,Grains Become Ripe,Bountiful Harvest,180.0,,,,,,0,
gold,イノベーション,Innovation,,508.0,,,,,Dirt,0,
gold,威風堂々,Dignified,,508.0,559.0,457.0,406.0,356.0,Late,0,
ius,威風堂々、夢錦！,Dignified Dreamlike Brocade,Dreams Donned with Pride!,180.0,,,,,,0,
gold,インスピレーション,,,508.0,559.0,457.0,406.0,356.0,Late,0,
ius,ヴィヴァーチェ・ヴォラーレ,Vivace Volare,,180.0,,,,,,0,
ius,ヴィクトリーショット！,Victory Shot!,Shooting for Victory!,180.0,,,,,,0,
ius,ヴィットーリアに捧ぐ舞踏,Dance for Vittoria,This Dance Is for Vittoria!,180.0,,,,,,0,
ius,打ち、鍛えて,Strike and Strengthen,,180.0,,,,,,0,
yellow,内なる獣,Beast Within,,217.0,263.0,176.0,139.0,106.0,Medium/Late,0,
yellow,内弁慶,King of the Castle,Inside Scoop,217.0,239.0,195.0,174.0,152.0,Long,0,
green,内枠得意○,Inner Gate Affinity ○,Inner Post Proficiency ○,129.0,,,,,,0,
green,内枠得意◎,Inner Gate Affinity ◎,Inner Post Proficiency ◎,174.0,,,,,,0,
yellow,ウマ好み,Big Fan,Uma Stan,217.0,,,,,,0,
blue,ウマ込み冷静,Crowded Calm,Calm in a Crowd,217.0,,,,,,0,
gold,ウママニア,Uma Mania,Superstan,508.0,,,,,,0,
yellow,海の加護,Blessing of the Ocean,,263.0,,,,,,0,
yellow,裏腹なキモチ,Contradicting Emotions,,217.0,,,,,Dirt,0,
ius,麗しき花信風,Lovely Spring Wind,Lovely Spring Breeze,180.0,,,,,,0,
gold,雲蒸竜変,Cloud Dragon's Metamorphosis,,508.0,559.0,457.0,406.0,356.0,Mile/Medium,0,
ius,運否、聖夜の星に賭ける,Wager on the Holy Night Stars,,180.0,198.0,162.0,144.0,126.0,Medium/Long,0,
ius,鋭気のアレグロ,Allegro of Valor,,180.0,,,,,,0,
gold,鋭脚一閃,Incisive Flash,,508.0,559.0,457.0,406.0,356.0,Late,0,
gold,鋭脚円刃,Incisive Slash,,508.0,559.0,457.0,406.0,356.0,Late,0,
gold,英姿颯爽,Gallant Figure,,508.0,615.0,411.0,325.0,249.0,Medium/Front,0,
gold,影従打破,Breaking Free,,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,英俊豪傑,Unpredecented Prodigy,,633.0,,,,,,0,
blue,栄養補給,Nutritional Supplements,Hydrate,217.0,239.0,195.0,174.0,152.0,Pace,0,
gold,エネルギッシュ,Energetic,,633.0,,,,,,0,
gold,円弧のマエストロ,Arc Maestro,Swinging Maestro,508.0,,,,,,0,
ius,エンジン点火！,Engine Ignition!,,180.0,,,,,,0,
ius,エンジン全開！大噴射！,"Engine, Full Throttle! Turbo Time!",,180.0,,,,,,0,
ius,演舞・撫子大薙刀,Naginata Maiden's Dance,,180.0,,,,,,0,
yellow,追い上げ,Press the Attack,Pressure,217.0,239.0,195.0,174.0,152.0,Long,0,
yellow,追い風に乗って,Riding the Tailwind,,217.0,263.0,176.0,139.0,106.0,Medium/Front,0,
red,追込焦り,Panicked Chasers,Flustered End Closers,217.0,,,,,,0,
red,追込駆け引き,Frantic Chasers,Frenzied End Closers,174.0,,,,,,0,
red,追込けん制,Restrained Chasers,Subdued End Closers,217.0,,,,,,0,
yellow,追込コーナー○,Chaser's Corners ○,End Closer Corners ○,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,追込コーナー◎,Chaser's Corners ◎,End Closer Corners ◎,262.0,288.0,236.0,210.0,183.0,End,0,
red,追込ためらい,Faltering Chasers,Hesitant End Closers,217.0,,,,,,0,
yellow,追込直線○,Chaser's Straights ○,End Closer Straightaways ○,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,追込直線◎,Chaser's Straights ◎,End Closer Straightaways ◎,262.0,288.0,236.0,210.0,183.0,End,0,
green,追込のコツ○,Chaser's Tricks ○,End Closer Savvy ○,174.0,191.0,157.0,139.0,122.0,End,0,
green,追込のコツ◎,Chaser's Tricks ◎,End Closer Savvy ◎,217.0,239.0,195.0,174.0,152.0,End,0,
ius,奥義・常夏バーニング！！,Secret Technique: Everlasting Summer!!,,180.0,,,,,,0,
ius,黄金を訪ねて,In Search of Gold,,180.0,198.0,162.0,144.0,126.0,Late/End,0,
gold,王手,Check,,508.0,559.0,457.0,406.0,356.0,Pace/Late,0,
gold,王道一途,Just Rule,,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,大急ぎ,Great Haste,,217.0,263.0,176.0,139.0,106.0,Long/Late,0,
green,大井レース場○,Ooi Racetrack ○,Oi Racecourse ○,129.0,,,,,,0,
green,大井レース場◎,Ooi Racetrack ◎,Oi Racecourse ◎,174.0,,,,,,0,
yellow,大きなリード,Big Lead,Huge Lead,262.0,288.0,236.0,210.0,183.0,Sprint,0,
yellow,大詰め,Finale,,217.0,263.0,176.0,139.0,106.0,Long/Front,0,
gold,大逃げ,Great Escape,Runaway,370.0,407.0,333.0,296.0,259.0,Front,0,
ius,大盛り！ファーストバイト！,Extra Large First Bite!,,180.0,,,,,,0,
yellow,臆せぬ心,Unwavering Heart,,217.0,239.0,195.0,174.0,152.0,Long,0,
gold,お先に失礼っ！,"Sorry, Gotta Go!",See Ya Later!,508.0,,,,,,0,
yellow,押し切り準備,"Press Forward, Ready!",Final Push,217.0,239.0,195.0,174.0,152.0,Front,0,
yellow,押し通る！,Pushing Through!,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,押しの一手,Committed Push,,217.0,239.0,195.0,174.0,152.0,Front/Pace,0,
yellow,惜しみなし,No Reluctance,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,恐れぬ心,Fearless Heart,Fearless,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,己を信じて,Believe in Yourself,,217.0,239.0,195.0,174.0,152.0,Pace,0,
green,おひとり様○,Loner ○,Maverick ○,129.0,,,,,,0,
green,おひとり様◎,Loner ◎,Maverick ◎,174.0,,,,,,0,
ius,オペレーション・Cacao,Operation Cacao,Operation Cacao,180.0,,,,,,0,
yellow,お見通し,See Right Through,I Can See Right Through You,85.0,94.0,77.0,68.0,59.0,End,0,
yellow,思い切り,Take the Plunge,,217.0,263.0,176.0,139.0,106.0,Long/Pace,0,
yellow,想い焦がれて,Unquenched Longing,,263.0,289.0,237.0,210.0,184.0,Mile/Medium,0,
ius,念い、信ずればこそ,Because I Believe,,180.0,198.0,162.0,144.0,126.0,Pace,0,
yellow,想いを背負って,Bearer of Hope,,263.0,,,,,,0,
yellow,折れない心,Unbreakable Mind,,217.0,,,,,,0,
gold,開花,Blooming,,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,快進撃,Steady Advance,,508.0,615.0,411.0,325.0,249.0,Medium/Pace,0,
yellow,会心の一歩,Satisfying Pace,,217.0,239.0,195.0,174.0,152.0,Pace/Late,0,
ius,快走かな、快走かな！,"Fast Running, Fast Running!",Now We're Cruisin'!,180.0,,,,,,0,
yellow,快速,Rapid,,263.0,,,,,,0,
gold,快刀乱麻,Gordian Cut,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
ius,快なる剛力,Invigorating Strength,,180.0,,,,,,0,
gold,怪物,Monster,,508.0,615.0,411.0,325.0,249.0,Long/Pace,0,
yellow,垣間見た光,Glimpse of Light,,217.0,263.0,176.0,139.0,106.0,Medium/End,0,
ius,晦冥を照らせ永遠の耀き,Brilliance Illuminating the Darkness,Eternal Encompassing Shine,180.0,,,,,,0,
ius,掲げよ、己が魂の剣を！,Raise Thy Soul's Sword!,,180.0,,,,,,0,
ius,かがやけ☆とまこまい,Shine ☆ Tomakomai,,180.0,,,,,,0,
yellow,覚悟を決めて,Firm Resolve,,217.0,263.0,176.0,139.0,106.0,Long/Front,0,
red,かく乱,Perturbation,Disorient,85.0,94.0,77.0,68.0,59.0,Pace,0,
blue,隠れ蓑,Undercover,Lay Low,217.0,,,,,,0,
yellow,影打,Kageuchi,Feature Act,217.0,239.0,195.0,174.0,152.0,Long,0,
yellow,駆け降り,Descent,,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,影踏み,Shadowstepper,,217.0,239.0,195.0,174.0,152.0,End,0,
ius,翳り退く、さざめきの矢,Howling Arrow Piercing the Darkness,"Arrows Whistle, Shadows Disperse",180.0,,,,,,0,
gold,陽炎,Heat Haze,,508.0,559.0,457.0,406.0,356.0,Late,0,
yellow,影を追って,Chasing the Shadow,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,風切り,Wind Vane,,217.0,239.0,195.0,174.0,152.0,Mile,0,
gold,火事場のバ鹿力,Fight or Flight,Adrenaline Rush,508.0,559.0,457.0,406.0,356.0,Long,0,
gold,風翔,Wind Rider,,508.0,559.0,457.0,406.0,356.0,Mile,0,
ius,風光る,A Spring in My Step,,180.0,,,,,,0,
yellow,型破り,Mold Breaker,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
ius,勝ち鬨ワッショイ！,Shout of Victory,Victory Cheer!,180.0,,,,,,0,
ius,喝采☆ワンダードール！,Bravo ☆ Wonder Doll!,,180.0,,,,,,0,
ius,カッティング×DRIVE！,Cutting × DRIVE!,Cut and Drive!,180.0,,,,,,0,
gold,かっとばせ！,Send It Flying!,,508.0,559.0,457.0,406.0,356.0,Pace,0,
yellow,活路を拓く！,Find a Way!,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
ius,彼方、その先へ…,Beyond the Other Side,"Moving Past, and Beyond",180.0,,,,,,0,
ius,歌舞歓楽や、ああをかし,Merrymaking Song and Dance,,180.0,,,,,,0,
gold,神業ステップ,Miracle Step,Miraculous Step,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,がむしゃら,Devil-May-Care,,217.0,263.0,176.0,139.0,106.0,Long/Late,0,
gold,画竜点睛,Finishing Touch,,508.0,615.0,411.0,325.0,249.0,Long/Front,0,
yellow,軽い足取り,Nimble Step,Light as a Feather,217.0,239.0,195.0,174.0,152.0,Sprint,0,
ius,駆るは光、狩るは星々,"Driven by Light, the Heavenly Wolf Hunts",,180.0,,,,,,0,
yellow,華麗な足取り,Gorgeous Step,,217.0,239.0,195.0,174.0,152.0,Medium,0,
blue,軽やかステップ,Light Step,Soft Step,217.0,239.0,195.0,174.0,152.0,Medium,0,
green,川崎レース場○,Kawasaki Racetrack ○,,129.0,,,,,,0,
green,川崎レース場◎,Kawasaki Racetrack ◎,,174.0,,,,,,0,
yellow,間隙を突いて,Exploit the Gap,,217.0,263.0,176.0,139.0,106.0,Medium/Late,0,
gold,完全燃焼,Complete Combustion,,508.0,559.0,457.0,406.0,356.0,End,0,
yellow,がんばり屋,Hard Worker,Fighter,217.0,239.0,195.0,174.0,152.0,Late,0,
yellow,気合十分,Sufficient Spirit,Pumped,217.0,239.0,195.0,174.0,152.0,Mile,0,
yellow,ギアシフト,Shift Gears,Shifting Gears,217.0,239.0,195.0,174.0,152.0,Mile,0,
gold,ギアチェンジ,Gear Change,Changing Gears,508.0,559.0,457.0,406.0,356.0,Mile,0,
gold,気炎万丈,Burning Spirit,Burning Soul,508.0,559.0,457.0,406.0,356.0,Medium,0,
yellow,鬼気迫って,Ghastly,,217.0,263.0,176.0,139.0,106.0,Medium/End,0,
yellow,危険回避,Danger Avoidance,Dodging Danger,129.0,142.0,116.0,103.0,90.0,Front,0,
ius,貴顕の使命を果たすべく,Fulfilling Your Noble Duty,The Duty of Dignity Calls,180.0,,,,,,0,
gold,技巧派,Technician,Technician,334.0,367.0,301.0,267.0,234.0,Pace,0,
gold,気骨稜稜,Unyielding Tenacity,,508.0,559.0,457.0,406.0,356.0,Sprint,0,
gold,起死回生,Rise From the Ashes,From the Brink,508.0,559.0,457.0,406.0,356.0,Medium,0,
gold,奇術師,Conjurer,Illusionist,334.0,367.0,301.0,267.0,234.0,Long,0,
yellow,気丈な姿勢,Resolute Stance,,217.0,263.0,176.0,139.0,106.0,Mile/Pace,0,
gold,気丈夫,Stout-Hearted,,508.0,559.0,457.0,406.0,356.0,Medium/Long,0,
ius,きせき・おもい・かなで,"Miracle, Hopes, Melody",,180.0,,,,,,0,
gold,機先の勝負,Battle for Initiative,,508.0,,,,,,0,
ius,きっとその先へ…！,"Surely, Beyond...!",Just a Little Farther!,180.0,,,,,,0,
yellow,気の向くままに,Free-Spirited,,217.0,263.0,176.0,139.0,106.0,Long/Front,0,
yellow,気迫を込めて,With Verve,With All My Soul,217.0,239.0,195.0,174.0,152.0,Medium,0,
ius,来ます来てます来させます！,Luck Is Coming,I See Victory in My Future!,180.0,,,,,,0,
yellow,気ままな足取り,Carefree Step,,217.0,239.0,195.0,174.0,152.0,Medium,0,
gold,キミと勝ちたい,I Want to Win With You,,633.0,,,,,,0,
yellow,気持ちを乗せて,With Feelings Aboard,,217.0,,,,,,0,
ius,究極テイオーステップ,Ultimate Teio Step,Sky-High Teio Step,180.0,,,,,,0,
gold,究極のヒルクライマー,Ultimate Hill Climber,,508.0,,,,,,0,
yellow,急降下,Nosedive,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,急襲,Surprise Attack,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
yellow,急発進,Swift Takeoff,,217.0,239.0,195.0,174.0,152.0,Sprint,0,
yellow,急浮上,Rapid Ascent,,217.0,,,,,Dirt,0,
ius,暁霞を拓き、朝を掴む,,,180.0,198.0,162.0,144.0,126.0,Pace,0,
gold,強攻策,Daring Attack,Daring Strike,508.0,559.0,457.0,406.0,356.0,End,0,
gold,強者の証,Proof of Strength,,508.0,615.0,411.0,325.0,249.0,Medium/Pace,0,
green,京都レース場○,Kyoto Racetrack ○,Kyoto Racecourse ○,129.0,,,,,,0,
green,京都レース場◎,Kyoto Racetrack ◎,Kyoto Racecourse ◎,174.0,,,,,,0,
gold,曲線のソムリエ,Curve Sommelier,Corner Connoisseur,508.0,,,,,,0,
yellow,巨歩,Giant Stride,,217.0,,,,,,0,
gold,キラーチューン,Killer Tune,Killer Tunes,508.0,559.0,457.0,406.0,356.0,Medium,0,
ius,キラキラ☆STARDOM,Sparkling☆STARDOM,SPARKLY☆STARDOM,180.0,,,,,,0,
yellow,綺羅星,Glittering Stars,Glittering Star,263.0,,,,,,0,
ius,煌星のヴォードヴィル,Glittering Star Vaudeville,Lights of Vaudeville,180.0,,,,,,0,
ius,きらめくは海、まばゆきは君,"The Sea Glitters, but You're Dazzling",,180.0,,,,,,0,
yellow,切り返し,Striking Back,,217.0,239.0,195.0,174.0,152.0,Medium/Long,0,
yellow,切り替え上手,Switch Over Pro,,217.0,239.0,195.0,174.0,152.0,Medium,0,
yellow,切り崩し,Cleave,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,切り込み隊長,Spearhead,,217.0,239.0,195.0,174.0,152.0,Front,0,
gold,切り開く者,Trailblazer,Trackblazer,508.0,559.0,457.0,406.0,356.0,Medium,0,
gold,麒麟児,Wonderkid,,508.0,559.0,457.0,406.0,356.0,Medium/Long,0,
yellow,切れ味,Witful,,217.0,239.0,195.0,174.0,152.0,End,0,
yellow,キレる脚,Razor-Sharp Stride,,217.0,239.0,195.0,174.0,152.0,Late,0,
gold,錦上添花,Crowning Beauty,,334.0,367.0,301.0,267.0,234.0,Medium,0,
yellow,食い下がり,Stand Your Ground,Steadfast,217.0,239.0,195.0,174.0,152.0,Medium,0,
gold,食いしん坊,Big Eater,Gourmand,508.0,559.0,457.0,406.0,356.0,Pace,0,
gold,クールダウン,Cooldown,Cooldown,508.0,559.0,457.0,406.0,356.0,Long,0,
gold,くじけぬ精神,Unbreakable Spirit,Shatterproof,334.0,367.0,301.0,267.0,234.0,Pace,0,
